"Kreis";"Ort";"Typ";"Hersteller";"Nabenhoehe";"Rotordurchmesser";"Schallleistungspegel";"Leistung";"Leistungsbezug";"Ostwert";"Nordwert";"Genehmigt_am";"Iinbetriebnahme";"Status";"Bst_Nr";"Anl_Nr";"Datendatum";"Datenquelle"
"Segeberg";"Weddelbrook";"Vestas V-150 6.0";"Vestas";"148";"150";"HZ /dB(A) | 63/87,2 | 125/95 | 250/99,9 | 500/101,8 | 1000/100,7 | 2000/96,5 | 4000/89,4 | SLP=106,6 dB(A)";6000;"kW Nennleist. Rotor.";32553833;5974570;;;"im Gen.Verf.";"60095343699";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Weede";"Vestas V126 mit GH von 200m";"Vestas";"137";"126";;3600;"kW Nennleist. Rotor.";32590667;5976942;;;"im Gen.Verf.";"60096344047";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Weede";"Vestas V162 mit GH von 200m";"Vestas";"119";"162";;6000;"kW Nennleist. Rotor.";32591018;5976891;;;"im Gen.Verf.";"60096344047";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Weede";"Vestas V162 mit GH von 200 m";"Vestas";"119";"162";;6000;"kW Nennleist. Rotor.";32591473;5976876;;;"im Gen.Verf.";"60096344047";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Weede";"Vestas V162 mit GH von 200 m";"Vestas";"119";"162";;6000;"kW Nennleist. Rotor.";32591283;5976582;;;"im Gen.Verf.";"60096344047";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Wiemersdorf";"Typ Nordex N163/5.X";"Nordex";"118";"163";"HZ /dB(A) | 63/88,9 | 125/95,1 | 250/98,8 | 500/101,4 | 1000/102,1 | 2000/99,6 | 4000/92 | 8000/84 | SLP=107,2 dB(A) (TAG)HZ /dB(A) | 63/87,2 | 125/93,4 | 250/97,1 | 500/99,7 | 1000/100,4 | 2000/97,9 | 4000/90,3 | 8000/82,3 | SLP=105,5 dB(A) (NACHT)";5700;"kW Nennleist. Rotor.";32560967;5978078;;;"im Gen.Verf.";"60099345189";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Wiemersdorf";"Typ Nordex N163/5.X";"Nordex";"118";"163";"HZ /dB(A) | 63/88,9 | 125/95,1 | 250/98,8 | 500/101,4 | 1000/102,1 | 2000/99,6 | 4000/92 | 8000/84 | SLP=107,2 dB(A) (TAG)HZ /dB(A) | 63/81,7 | 125/87,9 | 250/91,6 | 500/94,2 | 1000/94,9 | 2000/92,4 | 4000/84,8 | 8000/76,8 | SLP=100 dB(A) (NACHT)";5700;"kW Nennleist. Rotor.";32561182;5978599;;;"im Gen.Verf.";"60099345189";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Wiemersdorf";"Typ Nordex N133/4800";"Nordex";"110";"133";"HZ /dB(A) | 63/86,2 | 125/93,2 | 250/97 | 500/97,9 | 1000/98,4 | 2000/97,1 | 4000/92,8 | 8000/83,6 | SLP=104,5 dB(A) (TAG+NACHT)";4800;"kW Nennleist. Rotor.";32561427;5978346;;;"im Gen.Verf.";"60099345189";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Wiemersdorf";"Enercon E66/1870";"Enercon";"64,8";"70";"101";1800;"kW Nennleist. Rotor.";32561154;5978165;28.07.00;11.07.01;"in Betrieb";"60099491964";"0001";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Wiemersdorf";"Enercon E66/1870";"Enercon";"64,8";"70";"101";1800;"kW Nennleist. Rotor.";32561131;5978487;28.07.00;11.07.01;"in Betrieb";"60099491964";"0002";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Wiemersdorf";"Enercon E66/1870";"Enercon";"64,8";"70";"101";1800;"kW Nennleist. Rotor.";32561093;5978901;28.07.00;11.07.01;"in Betrieb";"60099491964";"0003";"06.07.2022";"LLUR SH, Abtl. 7"
"Segeberg";"Wiemersdorf";"Enercon E66/1870";"Enercon";"64,8";"70";"101";1800;"kW Nennleist. Rotor.";32562031;5979327;28.07.00;11.07.01;"in Betrieb";"60099491964";"0004";"06.07.2022";"LLUR SH, Abtl. 7"
